ACCIDENT NO,ACCIDENT DATE,ACCIDENT TIME,ACCIDENT TYPE,ACCIDENT TYPE DESC,DAY OF WEEK,DAY WEEK DESCRIPTION,DCA CODE,DCA DESCRIPTION,DIRECTORY,EDITION,PAGE,GRID REFERENCE X,GRID REFERENCE Y,LIGHT CONDITION,LIGHT CONDITION DESC,NODE ID,NO OF VEHICLES,NO PERSONS,NO PERSONS INJ 2,NO PERSONS INJ 3,NO PERSONS KILLED,NO PERSONS NOT INJ,POLICE ATTEND,ROAD GEOMETRY,ROAD GEOMETRY  DESC,SEVERITY,SPEED ZONE
12000000389,4/1/2000,22.30.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,88,H,11,5,Dark No street lights,25264,1,2,1,0,1,0,1,5,Not at intersection,1,90
12000000554,6/1/2000,22.15.00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,87,C,1,3,Dark Street lights on,42800,1,1,1,0,0,0,1,2,T intersection,2,60
12000000555,1/1/2000,18.00.00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2P,C,6,1,Day,40101,4,4,1,1,0,2,1,2,T intersection,2,60
12000000559,2/1/2000,01.00.00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,76,F,7,3,Dark Street lights on,127638,1,2,2,0,0,0,1,5,Not at intersection,2,60
12000000586,3/1/2000,23.50.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,69,A,3,3,Dark Street lights on,57539,3,3,0,2,0,1,1,1,Cross intersection,3,70
12000000781,9/1/2000,09.05.00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,86,F,7,1,Day,42727,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000000808,8/1/2000,11.05.00,1,Collision with vehicle,7,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,77,F,5,1,Day,42193,2,4,1,0,0,3,1,2,T intersection,2,70
12000000810,8/1/2000,10.00.00,1,Collision with vehicle,7,Saturday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,MEL,40,97,C,6,1,Day,126973,3,4,0,1,0,3,1,5,Not at intersection,3,60
12000001446,7/1/2000,13.13.00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,77,A,1,1,Day,127387,2,3,1,0,0,2,1,5,Not at intersection,2,80
12000001526,7/1/2000,14.30.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,MEL,40,67,G,9,1,Day,45858,2,2,0,1,0,1,2,2,T intersection,3,60
12000001708,12/1/2000,10.40.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2J,E,8,1,Day,37424,2,3,1,0,0,2,1,2,T intersection,2,60
12000001731,13/01/2000,08.00.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,MEL,40,79,E,12,1,Day,42433,2,2,0,1,0,1,1,2,T intersection,3,70
12000001947,6/1/2000,17.45.00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,68,J,9,9,Unknown,41444,5,5,0,1,0,4,2,1,Cross intersection,3,60
12000002177,1/1/2000,13.15.00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2G,G,5,1,Day,35376,2,4,0,1,0,3,1,1,Cross intersection,3,70
12000002238,5/1/2000,06.45.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,59,E,12,2,Dusk/Dawn,40357,2,2,0,1,0,1,2,2,T intersection,3,70
12000002253,1/1/2000,01.20.00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2K,B,4,3,Dark Street lights on,35397,2,4,0,1,0,3,1,1,Cross intersection,3,60
12000002264,1/1/2000,02.25.00,2,Struck Pedestrian,7,Saturday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,MEL,40,68,F,5,3,Dark Street lights on,41375,1,2,0,1,0,1,2,4,Multiple intersection,3,60
12000002288,16/01/2000,16.10.00,2,Struck Pedestrian,1,Sunday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,MEL,40,2P,K,6,1,Day,127370,2,2,1,0,0,1,1,5,Not at intersection,2,60
12000002458,6/1/2000,14.40.00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,MEL,40,1B,L,5,1,Day,126162,1,3,0,1,0,2,1,5,Not at intersection,3,60
12000002490,1/1/2000,12.20.00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,67,G,7,1,Day,57561,2,4,1,0,0,3,1,1,Cross intersection,2,80
12000002502,4/1/2000,03.10.00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,MEL,40,1C,H,5,6,Dark Street lights unknown,127374,1,1,0,1,0,0,1,5,Not at intersection,3,60
12000002504,7/1/2000,16.55.00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH                        ,MEL,40,1A,A,5,1,Day,29415,2,5,0,2,0,3,2,1,Cross intersection,3,60
12000002509,5/1/2000,12.40.00,1,Collision with vehicle,4,Wednesday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,MEL,40,2C,D,7,1,Day,122590,2,3,1,1,0,1,1,5,Not at intersection,2,60
12000002511,2/1/2000,06.50.00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,2H,A,10,1,Day,75070,1,2,0,2,0,0,1,5,Not at intersection,3,60
12000002540,1/1/2000,08.15.00,2,Struck Pedestrian,7,Saturday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,MEL,40,1D,V,8,1,Day,126652,1,4,1,0,1,2,1,5,Not at intersection,1,60
12000002549,9/1/2000,09.15.00,6,Vehicle overturned (no collision),1,Sunday,170,OFF CARRIAGEWAY TO LEFT                   ,MEL,40,2H,D,12,1,Day,10627,1,1,0,1,0,0,2,5,Not at intersection,3,80
12000002621,13/01/2000,09.40.00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,MEL,40,29,G,10,1,Day,4710,2,2,0,1,0,1,2,5,Not at intersection,3,60
12000002625,10/1/2000,12.20.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2B,D,11,1,Day,36261,2,4,0,1,0,3,1,1,Cross intersection,3,60
12000002633,3/1/2000,09.35.00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,2C,D,4,1,Day,144,2,2,0,1,0,1,1,2,T intersection,3,60
12000002642,1/1/2000,04.57.00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,1A,F,10,3,Dark Street lights on,127371,1,1,1,0,0,0,1,5,Not at intersection,2,60
12000002643,3/1/2000,17.32.00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,1C,K,12,1,Day,36909,2,2,0,2,0,0,1,1,Cross intersection,3,60
12000002646,5/1/2000,13.00.00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2K,B,10,1,Day,37522,2,3,0,3,0,0,1,1,Cross intersection,3,60
12000002652,6/1/2000,08.10.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2K,A,9,1,Day,37503,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000002657,6/1/2000,16.45.00,1,Collision with vehicle,5,Thursday,131,LEFT REAR                          ,MEL,40,87,B,6,1,Day,35605,2,2,0,1,0,1,2,1,Cross intersection,3,60
12000002662,5/1/2000,22.35.00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING)                  ,MEL,40,86,J,1,3,Dark Street lights on,42748,2,2,1,1,0,0,1,2,T intersection,2,60
12000002667,11/1/2000,11.15.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,2H,G,12,1,Day,37352,2,3,0,1,0,2,1,1,Cross intersection,3,60
12000002669,4/1/2000,14.05.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,1A,G,10,1,Day,35356,2,2,1,1,0,0,1,1,Cross intersection,2,60
